Data2013,numberschools,Total num Students,yield per teacher,num passed,percent passed,numfemale,numfemale passed,percentfemale passed,percentfemale,numBlack,numBlack Passed,percent Black passed,numblack taking exam,percent black in state,% taking / % state *100,# Black Females,# Black Females passed,% Black Females passed,numHispanic,numHispanic passed,percentHispanic passed,# Hispanic Females,# Hispanic Females passed,% Hispanic females passed,percent hispanic taking exam,percentHispanic in state,taketostate percentage ratio,,,,,,,,,,,
New Mexico,7,57,8.142857143,43,75.43859649,8,5,62.5,14.03508772,0,0,0,0,3,0,0,0,0,7,3*,42.86*,1,*,*,12.28070175,46.3,26.52419385,,,,,,,,,,,
Nevada,7,51,7.285714286,29,56.8627451,3,*,*,5.882352941,3,*,*,5.882352941,8.1,72.62164125,1,*,*,8,2*,25*,0,0,0,15.68627451,26.5,59.19348872,,,,,,,,,,,
Vermont,7,47,6.714285714,39,82.9787234,3,*,*,6.382978723,1,*,*,2.127659574,0.87,244.5585718,1,*,*,1,*,*,0,0,0,2.127659574,1.5,141.8439716,,,,,,,,,,,
Idaho,6,47,7.833333333,32,68.08510638,9,6,66.66666667,19.14893617,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,11.2,0,,,,,,,,,,,
Kansas,12,47,3.916666667,33,70.21276596,3,*,*,6.382978723,0,0,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0,10.5,0,,,,,,,,,,,
Nebraska,12,46,3.833333333,35,76.08695652,5,5,100,10.86956522,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,9.2,0,,,,,,,,,,,
Louisiana,21,40,1.904761905,23,57.5,3,*,*,7.5,2,*,*,5,32,15.625,0,0,0,3,*,*,0,0,0,7.5,4.2,178.5714286,,,,,,,,,,,
South Dakota,4,33,8.25,,,5,4,80,15.15151515,1,*,*,3.03030303,1.14,265.8160553,1,*,*,1,*,*,0,0,0,3.03030303,2.7,112.2334456,,,,,,,,,,,
Alaska,2,21,10.5,21,100,2,*,*,9.523809524,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,5.5,0,,,,,,,,,,,
Montana,0,11,*,6,54.54545455,0,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,2.9,0,,,,,,,,,,,
North Dakota,1,9,9,6,66.66666667,2,*,*,22.22222222,0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,,,,,,,,
Mississippi,2,1,0.5,*,*,0,0,0,0,0,0,0,0,37.3,0,0,0,0,0,0,0,0,0,0,0,2.7,0,,,,,,,,,,,
Wyoming,2,0,0,0,0,0,0,0,0,0,0,0,0,1.29,0,0,0,0,0,0,0,0,0,0,0,8.9,0,,,,,,,,,,,
,,,,,,,,,,10,,,,,,,,,7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
